A_c,stratum_gap,A_c_1,A_c_2,method,bet,allocation,stopping_time
0.51,0.5,0.26,0.76,lcbs,fixed,round_robin,400.0
0.51,0.5,0.26,0.76,lcbs,fixed,larger_means,400.0
0.51,0.5,0.26,0.76,lcbs,fixed,proportional_to_mart,
0.51,0.5,0.26,0.76,lcbs,fixed,predictable_kelly,
0.51,0.5,0.26,0.76,lcbs,agrapa,round_robin,400.0
0.51,0.5,0.26,0.76,lcbs,agrapa,larger_means,400.0
0.51,0.5,0.26,0.76,lcbs,agrapa,proportional_to_mart,
0.51,0.5,0.26,0.76,lcbs,agrapa,predictable_kelly,
0.51,0.5,0.26,0.76,lcbs,smooth_predictable,round_robin,400.0
0.51,0.5,0.26,0.76,lcbs,smooth_predictable,larger_means,400.0
0.51,0.5,0.26,0.76,lcbs,smooth_predictable,proportional_to_mart,
0.51,0.5,0.26,0.76,lcbs,smooth_predictable,predictable_kelly,
0.51,0.5,0.26,0.76,ui-nnsm,fixed,round_robin,400.0
0.51,0.5,0.26,0.76,ui-nnsm,fixed,larger_means,400.0
0.51,0.5,0.26,0.76,ui-nnsm,fixed,proportional_to_mart,400.0
0.51,0.5,0.26,0.76,ui-nnsm,fixed,predictable_kelly,400.0
0.51,0.5,0.26,0.76,ui-nnsm,agrapa,round_robin,400.0
0.51,0.5,0.26,0.76,ui-nnsm,agrapa,larger_means,400.0
0.51,0.5,0.26,0.76,ui-nnsm,agrapa,proportional_to_mart,400.0
0.51,0.5,0.26,0.76,ui-nnsm,agrapa,predictable_kelly,400.0
0.51,0.5,0.26,0.76,ui-nnsm,smooth_predictable,round_robin,400.0
0.51,0.5,0.26,0.76,ui-nnsm,smooth_predictable,larger_means,400.0
0.51,0.5,0.26,0.76,ui-nnsm,smooth_predictable,proportional_to_mart,400.0
0.51,0.5,0.26,0.76,ui-nnsm,smooth_predictable,predictable_kelly,400.0
0.53,0.0,0.53,0.53,lcbs,fixed,round_robin,400.0
0.53,0.0,0.53,0.53,lcbs,fixed,larger_means,400.0
0.53,0.0,0.53,0.53,lcbs,fixed,proportional_to_mart,
0.53,0.0,0.53,0.53,lcbs,fixed,predictable_kelly,
0.53,0.0,0.53,0.53,lcbs,agrapa,round_robin,273.0
0.53,0.0,0.53,0.53,lcbs,agrapa,larger_means,270.65
0.53,0.0,0.53,0.53,lcbs,agrapa,proportional_to_mart,
0.53,0.0,0.53,0.53,lcbs,agrapa,predictable_kelly,
0.53,0.0,0.53,0.53,lcbs,smooth_predictable,round_robin,400.0
0.53,0.0,0.53,0.53,lcbs,smooth_predictable,larger_means,400.0
0.53,0.0,0.53,0.53,lcbs,smooth_predictable,proportional_to_mart,
0.53,0.0,0.53,0.53,lcbs,smooth_predictable,predictable_kelly,
0.53,0.0,0.53,0.53,ui-nnsm,fixed,round_robin,400.0
0.53,0.0,0.53,0.53,ui-nnsm,fixed,larger_means,400.0
0.53,0.0,0.53,0.53,ui-nnsm,fixed,proportional_to_mart,270.8
0.53,0.0,0.53,0.53,ui-nnsm,fixed,predictable_kelly,400.0
0.53,0.0,0.53,0.53,ui-nnsm,agrapa,round_robin,170.0
0.53,0.0,0.53,0.53,ui-nnsm,agrapa,larger_means,180.6
0.53,0.0,0.53,0.53,ui-nnsm,agrapa,proportional_to_mart,173.35
0.53,0.0,0.53,0.53,ui-nnsm,agrapa,predictable_kelly,179.8
0.53,0.0,0.53,0.53,ui-nnsm,smooth_predictable,round_robin,204.0
0.53,0.0,0.53,0.53,ui-nnsm,smooth_predictable,larger_means,359.15
0.53,0.0,0.53,0.53,ui-nnsm,smooth_predictable,proportional_to_mart,206.8
0.53,0.0,0.53,0.53,ui-nnsm,smooth_predictable,predictable_kelly,275.65
0.53,0.5,0.28,0.78,lcbs,fixed,round_robin,400.0
0.53,0.5,0.28,0.78,lcbs,fixed,larger_means,400.0
0.53,0.5,0.28,0.78,lcbs,fixed,proportional_to_mart,
0.53,0.5,0.28,0.78,lcbs,fixed,predictable_kelly,
0.53,0.5,0.28,0.78,lcbs,agrapa,round_robin,273.0
0.53,0.5,0.28,0.78,lcbs,agrapa,larger_means,269.85
0.53,0.5,0.28,0.78,lcbs,agrapa,proportional_to_mart,
0.53,0.5,0.28,0.78,lcbs,agrapa,predictable_kelly,
0.53,0.5,0.28,0.78,lcbs,smooth_predictable,round_robin,400.0
0.53,0.5,0.28,0.78,lcbs,smooth_predictable,larger_means,400.0
0.53,0.5,0.28,0.78,lcbs,smooth_predictable,proportional_to_mart,
0.53,0.5,0.28,0.78,lcbs,smooth_predictable,predictable_kelly,
0.53,0.5,0.28,0.78,ui-nnsm,fixed,round_robin,400.0
0.53,0.5,0.28,0.78,ui-nnsm,fixed,larger_means,400.0
0.53,0.5,0.28,0.78,ui-nnsm,fixed,proportional_to_mart,271.75
0.53,0.5,0.28,0.78,ui-nnsm,fixed,predictable_kelly,400.0
0.53,0.5,0.28,0.78,ui-nnsm,agrapa,round_robin,170.0
0.53,0.5,0.28,0.78,ui-nnsm,agrapa,larger_means,181.7
0.53,0.5,0.28,0.78,ui-nnsm,agrapa,proportional_to_mart,172.15
0.53,0.5,0.28,0.78,ui-nnsm,agrapa,predictable_kelly,181.95
0.53,0.5,0.28,0.78,ui-nnsm,smooth_predictable,round_robin,204.0
0.53,0.5,0.28,0.78,ui-nnsm,smooth_predictable,larger_means,358.45
0.53,0.5,0.28,0.78,ui-nnsm,smooth_predictable,proportional_to_mart,208.35
0.53,0.5,0.28,0.78,ui-nnsm,smooth_predictable,predictable_kelly,270.9
0.55,0.0,0.55,0.55,lcbs,fixed,round_robin,312.0
0.55,0.0,0.55,0.55,lcbs,fixed,larger_means,315.5
0.55,0.0,0.55,0.55,lcbs,fixed,proportional_to_mart,
0.55,0.0,0.55,0.55,lcbs,fixed,predictable_kelly,
0.55,0.0,0.55,0.55,lcbs,agrapa,round_robin,156.0
0.55,0.0,0.55,0.55,lcbs,agrapa,larger_means,158.5
0.55,0.0,0.55,0.55,lcbs,agrapa,proportional_to_mart,
0.55,0.0,0.55,0.55,lcbs,agrapa,predictable_kelly,
0.55,0.0,0.55,0.55,lcbs,smooth_predictable,round_robin,234.0
0.55,0.0,0.55,0.55,lcbs,smooth_predictable,larger_means,236.05
0.55,0.0,0.55,0.55,lcbs,smooth_predictable,proportional_to_mart,
0.55,0.0,0.55,0.55,lcbs,smooth_predictable,predictable_kelly,
0.55,0.0,0.55,0.55,ui-nnsm,fixed,round_robin,400.0
0.55,0.0,0.55,0.55,ui-nnsm,fixed,larger_means,400.0
0.55,0.0,0.55,0.55,ui-nnsm,fixed,proportional_to_mart,164.45
0.55,0.0,0.55,0.55,ui-nnsm,fixed,predictable_kelly,363.8
0.55,0.0,0.55,0.55,ui-nnsm,agrapa,round_robin,102.0
0.55,0.0,0.55,0.55,ui-nnsm,agrapa,larger_means,111.7
0.55,0.0,0.55,0.55,ui-nnsm,agrapa,proportional_to_mart,105.7
0.55,0.0,0.55,0.55,ui-nnsm,agrapa,predictable_kelly,110.8
0.55,0.0,0.55,0.55,ui-nnsm,smooth_predictable,round_robin,123.0
0.55,0.0,0.55,0.55,ui-nnsm,smooth_predictable,larger_means,289.1
0.55,0.0,0.55,0.55,ui-nnsm,smooth_predictable,proportional_to_mart,127.3
0.55,0.0,0.55,0.55,ui-nnsm,smooth_predictable,predictable_kelly,172.65
0.55,0.5,0.30000000000000004,0.8,lcbs,fixed,round_robin,312.0
0.55,0.5,0.30000000000000004,0.8,lcbs,fixed,larger_means,315.2
0.55,0.5,0.30000000000000004,0.8,lcbs,fixed,proportional_to_mart,
0.55,0.5,0.30000000000000004,0.8,lcbs,fixed,predictable_kelly,
0.55,0.5,0.30000000000000004,0.8,lcbs,agrapa,round_robin,156.0
0.55,0.5,0.30000000000000004,0.8,lcbs,agrapa,larger_means,158.75
0.55,0.5,0.30000000000000004,0.8,lcbs,agrapa,proportional_to_mart,
0.55,0.5,0.30000000000000004,0.8,lcbs,agrapa,predictable_kelly,
0.55,0.5,0.30000000000000004,0.8,lcbs,smooth_predictable,round_robin,234.0
0.55,0.5,0.30000000000000004,0.8,lcbs,smooth_predictable,larger_means,235.35
0.55,0.5,0.30000000000000004,0.8,lcbs,smooth_predictable,proportional_to_mart,
0.55,0.5,0.30000000000000004,0.8,lcbs,smooth_predictable,predictable_kelly,
0.55,0.5,0.30000000000000004,0.8,ui-nnsm,fixed,round_robin,400.0
0.55,0.5,0.30000000000000004,0.8,ui-nnsm,fixed,larger_means,400.0
0.55,0.5,0.30000000000000004,0.8,ui-nnsm,fixed,proportional_to_mart,166.3
0.55,0.5,0.30000000000000004,0.8,ui-nnsm,fixed,predictable_kelly,357.45
0.55,0.5,0.30000000000000004,0.8,ui-nnsm,agrapa,round_robin,102.0
0.55,0.5,0.30000000000000004,0.8,ui-nnsm,agrapa,larger_means,112.1
0.55,0.5,0.30000000000000004,0.8,ui-nnsm,agrapa,proportional_to_mart,105.75
0.55,0.5,0.30000000000000004,0.8,ui-nnsm,agrapa,predictable_kelly,111.3
0.55,0.5,0.30000000000000004,0.8,ui-nnsm,smooth_predictable,round_robin,123.0
0.55,0.5,0.30000000000000004,0.8,ui-nnsm,smooth_predictable,larger_means,275.4
0.55,0.5,0.30000000000000004,0.8,ui-nnsm,smooth_predictable,proportional_to_mart,126.75
0.55,0.5,0.30000000000000004,0.8,ui-nnsm,smooth_predictable,predictable_kelly,175.9
0.57,0.0,0.57,0.57,lcbs,fixed,round_robin,231.0
0.57,0.0,0.57,0.57,lcbs,fixed,larger_means,230.6
0.57,0.0,0.57,0.57,lcbs,fixed,proportional_to_mart,
0.57,0.0,0.57,0.57,lcbs,fixed,predictable_kelly,
0.57,0.0,0.57,0.57,lcbs,agrapa,round_robin,115.0
0.57,0.0,0.57,0.57,lcbs,agrapa,larger_means,114.55
0.57,0.0,0.57,0.57,lcbs,agrapa,proportional_to_mart,
0.57,0.0,0.57,0.57,lcbs,agrapa,predictable_kelly,
0.57,0.0,0.57,0.57,lcbs,smooth_predictable,round_robin,173.0
0.57,0.0,0.57,0.57,lcbs,smooth_predictable,larger_means,172.45
0.57,0.0,0.57,0.57,lcbs,smooth_predictable,proportional_to_mart,
0.57,0.0,0.57,0.57,lcbs,smooth_predictable,predictable_kelly,
0.57,0.0,0.57,0.57,ui-nnsm,fixed,round_robin,336.0
0.57,0.0,0.57,0.57,ui-nnsm,fixed,larger_means,397.75
0.57,0.0,0.57,0.57,ui-nnsm,fixed,proportional_to_mart,122.9
0.57,0.0,0.57,0.57,ui-nnsm,fixed,predictable_kelly,275.8
0.57,0.0,0.57,0.57,ui-nnsm,agrapa,round_robin,72.0
0.57,0.0,0.57,0.57,ui-nnsm,agrapa,larger_means,84.0
0.57,0.0,0.57,0.57,ui-nnsm,agrapa,proportional_to_mart,79.25
0.57,0.0,0.57,0.57,ui-nnsm,agrapa,predictable_kelly,80.55
0.57,0.0,0.57,0.57,ui-nnsm,smooth_predictable,round_robin,89.0
0.57,0.0,0.57,0.57,ui-nnsm,smooth_predictable,larger_means,201.45
0.57,0.0,0.57,0.57,ui-nnsm,smooth_predictable,proportional_to_mart,94.8
0.57,0.0,0.57,0.57,ui-nnsm,smooth_predictable,predictable_kelly,123.95
0.57,0.5,0.31999999999999995,0.82,lcbs,fixed,round_robin,231.0
0.57,0.5,0.31999999999999995,0.82,lcbs,fixed,larger_means,230.8
0.57,0.5,0.31999999999999995,0.82,lcbs,fixed,proportional_to_mart,
0.57,0.5,0.31999999999999995,0.82,lcbs,fixed,predictable_kelly,
0.57,0.5,0.31999999999999995,0.82,lcbs,agrapa,round_robin,115.0
0.57,0.5,0.31999999999999995,0.82,lcbs,agrapa,larger_means,114.4
0.57,0.5,0.31999999999999995,0.82,lcbs,agrapa,proportional_to_mart,
0.57,0.5,0.31999999999999995,0.82,lcbs,agrapa,predictable_kelly,
0.57,0.5,0.31999999999999995,0.82,lcbs,smooth_predictable,round_robin,173.0
0.57,0.5,0.31999999999999995,0.82,lcbs,smooth_predictable,larger_means,172.45
0.57,0.5,0.31999999999999995,0.82,lcbs,smooth_predictable,proportional_to_mart,
0.57,0.5,0.31999999999999995,0.82,lcbs,smooth_predictable,predictable_kelly,
0.57,0.5,0.31999999999999995,0.82,ui-nnsm,fixed,round_robin,400.0
0.57,0.5,0.31999999999999995,0.82,ui-nnsm,fixed,larger_means,400.0
0.57,0.5,0.31999999999999995,0.82,ui-nnsm,fixed,proportional_to_mart,120.05
0.57,0.5,0.31999999999999995,0.82,ui-nnsm,fixed,predictable_kelly,276.55
0.57,0.5,0.31999999999999995,0.82,ui-nnsm,agrapa,round_robin,72.0
0.57,0.5,0.31999999999999995,0.82,ui-nnsm,agrapa,larger_means,84.15
0.57,0.5,0.31999999999999995,0.82,ui-nnsm,agrapa,proportional_to_mart,76.85
0.57,0.5,0.31999999999999995,0.82,ui-nnsm,agrapa,predictable_kelly,81.5
0.57,0.5,0.31999999999999995,0.82,ui-nnsm,smooth_predictable,round_robin,89.0
0.57,0.5,0.31999999999999995,0.82,ui-nnsm,smooth_predictable,larger_means,204.5
0.57,0.5,0.31999999999999995,0.82,ui-nnsm,smooth_predictable,proportional_to_mart,94.8
0.57,0.5,0.31999999999999995,0.82,ui-nnsm,smooth_predictable,predictable_kelly,124.7
0.6,0.0,0.6,0.6,lcbs,fixed,round_robin,163.0
0.6,0.0,0.6,0.6,lcbs,fixed,larger_means,163.25
0.6,0.0,0.6,0.6,lcbs,fixed,proportional_to_mart,
0.6,0.0,0.6,0.6,lcbs,fixed,predictable_kelly,
0.6,0.0,0.6,0.6,lcbs,agrapa,round_robin,79.0
0.6,0.0,0.6,0.6,lcbs,agrapa,larger_means,80.2
0.6,0.0,0.6,0.6,lcbs,agrapa,proportional_to_mart,
0.6,0.0,0.6,0.6,lcbs,agrapa,predictable_kelly,
0.6,0.0,0.6,0.6,lcbs,smooth_predictable,round_robin,121.0
0.6,0.0,0.6,0.6,lcbs,smooth_predictable,larger_means,122.7
0.6,0.0,0.6,0.6,lcbs,smooth_predictable,proportional_to_mart,
0.6,0.0,0.6,0.6,lcbs,smooth_predictable,predictable_kelly,
0.6,0.0,0.6,0.6,ui-nnsm,fixed,round_robin,150.0
0.6,0.0,0.6,0.6,ui-nnsm,fixed,larger_means,374.2
0.6,0.0,0.6,0.6,ui-nnsm,fixed,proportional_to_mart,88.3
0.6,0.0,0.6,0.6,ui-nnsm,fixed,predictable_kelly,177.85
0.6,0.0,0.6,0.6,ui-nnsm,agrapa,round_robin,50.0
0.6,0.0,0.6,0.6,ui-nnsm,agrapa,larger_means,61.2
0.6,0.0,0.6,0.6,ui-nnsm,agrapa,proportional_to_mart,56.8
0.6,0.0,0.6,0.6,ui-nnsm,agrapa,predictable_kelly,57.75
0.6,0.0,0.6,0.6,ui-nnsm,smooth_predictable,round_robin,63.0
0.6,0.0,0.6,0.6,ui-nnsm,smooth_predictable,larger_means,141.9
0.6,0.0,0.6,0.6,ui-nnsm,smooth_predictable,proportional_to_mart,68.9
0.6,0.0,0.6,0.6,ui-nnsm,smooth_predictable,predictable_kelly,91.85
0.6,0.5,0.35,0.85,lcbs,fixed,round_robin,163.0
0.6,0.5,0.35,0.85,lcbs,fixed,larger_means,162.95
0.6,0.5,0.35,0.85,lcbs,fixed,proportional_to_mart,
0.6,0.5,0.35,0.85,lcbs,fixed,predictable_kelly,
0.6,0.5,0.35,0.85,lcbs,agrapa,round_robin,79.0
0.6,0.5,0.35,0.85,lcbs,agrapa,larger_means,79.6
0.6,0.5,0.35,0.85,lcbs,agrapa,proportional_to_mart,
0.6,0.5,0.35,0.85,lcbs,agrapa,predictable_kelly,
0.6,0.5,0.35,0.85,lcbs,smooth_predictable,round_robin,121.0
0.6,0.5,0.35,0.85,lcbs,smooth_predictable,larger_means,122.35
0.6,0.5,0.35,0.85,lcbs,smooth_predictable,proportional_to_mart,
0.6,0.5,0.35,0.85,lcbs,smooth_predictable,predictable_kelly,
0.6,0.5,0.35,0.85,ui-nnsm,fixed,round_robin,400.0
0.6,0.5,0.35,0.85,ui-nnsm,fixed,larger_means,400.0
0.6,0.5,0.35,0.85,ui-nnsm,fixed,proportional_to_mart,88.05
0.6,0.5,0.35,0.85,ui-nnsm,fixed,predictable_kelly,188.1
0.6,0.5,0.35,0.85,ui-nnsm,agrapa,round_robin,50.0
0.6,0.5,0.35,0.85,ui-nnsm,agrapa,larger_means,60.25
0.6,0.5,0.35,0.85,ui-nnsm,agrapa,proportional_to_mart,56.0
0.6,0.5,0.35,0.85,ui-nnsm,agrapa,predictable_kelly,57.6
0.6,0.5,0.35,0.85,ui-nnsm,smooth_predictable,round_robin,63.0
0.6,0.5,0.35,0.85,ui-nnsm,smooth_predictable,larger_means,142.85
0.6,0.5,0.35,0.85,ui-nnsm,smooth_predictable,proportional_to_mart,69.5
0.6,0.5,0.35,0.85,ui-nnsm,smooth_predictable,predictable_kelly,90.1
0.65,0.0,0.65,0.65,lcbs,fixed,round_robin,110.0
0.65,0.0,0.65,0.65,lcbs,fixed,larger_means,110.45
0.65,0.0,0.65,0.65,lcbs,fixed,proportional_to_mart,
0.65,0.0,0.65,0.65,lcbs,fixed,predictable_kelly,
0.65,0.0,0.65,0.65,lcbs,agrapa,round_robin,51.0
0.65,0.0,0.65,0.65,lcbs,agrapa,larger_means,51.6
0.65,0.0,0.65,0.65,lcbs,agrapa,proportional_to_mart,
0.65,0.0,0.65,0.65,lcbs,agrapa,predictable_kelly,
0.65,0.0,0.65,0.65,lcbs,smooth_predictable,round_robin,81.0
0.65,0.0,0.65,0.65,lcbs,smooth_predictable,larger_means,81.4
0.65,0.0,0.65,0.65,lcbs,smooth_predictable,proportional_to_mart,
0.65,0.0,0.65,0.65,lcbs,smooth_predictable,predictable_kelly,
0.65,0.0,0.65,0.65,ui-nnsm,fixed,round_robin,78.0
0.65,0.0,0.65,0.65,ui-nnsm,fixed,larger_means,221.35
0.65,0.0,0.65,0.65,ui-nnsm,fixed,proportional_to_mart,62.25
0.65,0.0,0.65,0.65,ui-nnsm,fixed,predictable_kelly,113.9
0.65,0.0,0.65,0.65,ui-nnsm,agrapa,round_robin,33.0
0.65,0.0,0.65,0.65,ui-nnsm,agrapa,larger_means,41.6
0.65,0.0,0.65,0.65,ui-nnsm,agrapa,proportional_to_mart,39.1
0.65,0.0,0.65,0.65,ui-nnsm,agrapa,predictable_kelly,39.25
0.65,0.0,0.65,0.65,ui-nnsm,smooth_predictable,round_robin,42.0
0.65,0.0,0.65,0.65,ui-nnsm,smooth_predictable,larger_means,93.05
0.65,0.0,0.65,0.65,ui-nnsm,smooth_predictable,proportional_to_mart,50.15
0.65,0.0,0.65,0.65,ui-nnsm,smooth_predictable,predictable_kelly,61.7
0.65,0.5,0.4,0.9,lcbs,fixed,round_robin,110.0
0.65,0.5,0.4,0.9,lcbs,fixed,larger_means,110.7
0.65,0.5,0.4,0.9,lcbs,fixed,proportional_to_mart,
0.65,0.5,0.4,0.9,lcbs,fixed,predictable_kelly,
0.65,0.5,0.4,0.9,lcbs,agrapa,round_robin,51.0
0.65,0.5,0.4,0.9,lcbs,agrapa,larger_means,51.8
0.65,0.5,0.4,0.9,lcbs,agrapa,proportional_to_mart,
0.65,0.5,0.4,0.9,lcbs,agrapa,predictable_kelly,
0.65,0.5,0.4,0.9,lcbs,smooth_predictable,round_robin,81.0
0.65,0.5,0.4,0.9,lcbs,smooth_predictable,larger_means,81.85
0.65,0.5,0.4,0.9,lcbs,smooth_predictable,proportional_to_mart,
0.65,0.5,0.4,0.9,lcbs,smooth_predictable,predictable_kelly,
0.65,0.5,0.4,0.9,ui-nnsm,fixed,round_robin,168.0
0.65,0.5,0.4,0.9,ui-nnsm,fixed,larger_means,384.85
0.65,0.5,0.4,0.9,ui-nnsm,fixed,proportional_to_mart,63.75
0.65,0.5,0.4,0.9,ui-nnsm,fixed,predictable_kelly,120.2
0.65,0.5,0.4,0.9,ui-nnsm,agrapa,round_robin,33.0
0.65,0.5,0.4,0.9,ui-nnsm,agrapa,larger_means,41.45
0.65,0.5,0.4,0.9,ui-nnsm,agrapa,proportional_to_mart,39.3
0.65,0.5,0.4,0.9,ui-nnsm,agrapa,predictable_kelly,39.55
0.65,0.5,0.4,0.9,ui-nnsm,smooth_predictable,round_robin,42.0
0.65,0.5,0.4,0.9,ui-nnsm,smooth_predictable,larger_means,104.3
0.65,0.5,0.4,0.9,ui-nnsm,smooth_predictable,proportional_to_mart,51.05
0.65,0.5,0.4,0.9,ui-nnsm,smooth_predictable,predictable_kelly,60.25
0.7,0.0,0.7,0.7,lcbs,fixed,round_robin,83.0
0.7,0.0,0.7,0.7,lcbs,fixed,larger_means,83.7
0.7,0.0,0.7,0.7,lcbs,fixed,proportional_to_mart,
0.7,0.0,0.7,0.7,lcbs,fixed,predictable_kelly,
0.7,0.0,0.7,0.7,lcbs,agrapa,round_robin,39.0
0.7,0.0,0.7,0.7,lcbs,agrapa,larger_means,38.65
0.7,0.0,0.7,0.7,lcbs,agrapa,proportional_to_mart,
0.7,0.0,0.7,0.7,lcbs,agrapa,predictable_kelly,
0.7,0.0,0.7,0.7,lcbs,smooth_predictable,round_robin,61.0
0.7,0.0,0.7,0.7,lcbs,smooth_predictable,larger_means,61.8
0.7,0.0,0.7,0.7,lcbs,smooth_predictable,proportional_to_mart,
0.7,0.0,0.7,0.7,lcbs,smooth_predictable,predictable_kelly,
0.7,0.0,0.7,0.7,ui-nnsm,fixed,round_robin,54.0
0.7,0.0,0.7,0.7,ui-nnsm,fixed,larger_means,125.8
0.7,0.0,0.7,0.7,ui-nnsm,fixed,proportional_to_mart,50.85
0.7,0.0,0.7,0.7,ui-nnsm,fixed,predictable_kelly,80.05
0.7,0.0,0.7,0.7,ui-nnsm,agrapa,round_robin,25.0
0.7,0.0,0.7,0.7,ui-nnsm,agrapa,larger_means,32.6
0.7,0.0,0.7,0.7,ui-nnsm,agrapa,proportional_to_mart,32.35
0.7,0.0,0.7,0.7,ui-nnsm,agrapa,predictable_kelly,30.35
0.7,0.0,0.7,0.7,ui-nnsm,smooth_predictable,round_robin,32.0
0.7,0.0,0.7,0.7,ui-nnsm,smooth_predictable,larger_means,64.65
